1982	355
1982	181
1982	871
1982	871
1982	421
2012	2029
936	1912
936	977
1972	1308
146	1162
602	47
547	86
547	2151
547	1207
1052	322
1052	963
1052	145
1052	98
1052	1419
1052	885
1052	1008
1052	1686
1052	41
1052	1117
1052	345
1052	1272
1052	2204
1052	1683
1052	381
1052	871
1052	684
840	697
840	1397
1315	1267
801	1373
801	209
801	682
2426	1694
426	289
426	868
426	1825
426	507
426	130
426	1442
426	307
426	515
426	1912
426	322
426	322
426	47
426	1733
426	630
426	508
426	2273
426	1366
426	1856
426	933
426	1419
426	2103
426	2032
426	90
426	26
426	2372
426	1614
426	1052
426	1182
426	696
426	849
426	1822
426	48
426	1149
426	2459
426	1996
426	2184
426	241
426	2209
426	648
426	1530
426	1045
426	2017
426	1217
426	104
426	978
426	534
426	1325
426	1325
426	1776
426	2284
426	427
426	2252
426	1343
426	1404
426	1174
426	471
426	942
426	1377
426	410
426	1207
426	1134
426	297
426	1441
426	2056
426	1087
426	1286
426	10
426	1759
426	2208
426	1078
426	312
426	1249
426	1935
426	1272
426	1092
426	1772
426	1915
426	2334
426	559
426	2120
426	2120
426	1383
426	1683
426	1683
426	1228
426	1682
426	858
426	1068
426	1303
426	1303
426	1349
426	1708
426	249
426	2009
426	2450
426	2014
426	684
426	2155
426	204
675	307
675	933
675	2459
2328	47
2328	47
2328	1614
2328	1934
2328	1755
2328	155
2328	1759
2328	1078
2328	119
2328	1658
2328	685
1822	868
1822	426
1822	1755
1736	426
1016	426
1787	1381
1370	535
1024	289
1024	1419
1024	184
587	933
903	2358
864	289
864	1569
864	51
864	51
864	1825
864	1621
864	118
864	630
864	2006
864	933
864	394
864	1838
864	2251
864	1024
864	1396
864	390
864	244
864	244
864	80
864	504
864	1251
864	736
864	1043
864	395
864	1947
864	2002
864	721
864	1770
864	1686
864	1188
864	1319
864	1034
864	496
864	1699
864	1529
864	817
864	1761
864	964
864	387
864	1382
864	901
864	45
864	1917
864	1425
864	209
864	472
864	1706
864	165
864	1313
864	1771
864	35
864	2230
864	865
864	2374
864	883
864	1303
864	589
864	684
864	684
864	1612
902	803
902	1379
2047	879
2047	1761
1164	1393
1164	1839
2313	68
2313	2221
859	1018
859	2049
859	1472
859	1363
859	851
618	851
618	1719
1637	1866
1637	408
1637	1839
1637	2393
1637	381
438	1838
438	1838
438	2364
438	408
438	1303
983	295
983	561
983	1989
983	288
983	1377
983	260
983	871
646	2259
1550	1859
535	300
535	933
535	426
535	1174
1626	1489
217	1207
390	1604
390	322
390	322
390	47
390	573
390	508
390	933
390	1748
390	1715
390	1052
390	295
390	1042
390	1058
390	1929
390	655
390	1397
390	694
390	2166
390	121
390	408
390	1207
390	1074
390	50
390	1087
390	209
390	133
390	2034
390	249
390	1081
390	1618
390	684
390	2118
761	573
761	975
761	919
761	455
761	1529
761	2036
761	559
761	684
500	300
500	1912
500	933
500	1129
500	1303
541	1536
541	1924
541	1489
1535	1508
1535	1838
1535	885
1535	571
1535	272
1535	346
1535	1535
1535	1251
1535	324
1535	1746
1535	1211
1535	823
1535	349
1535	349
1535	79
1535	639
1535	290
336	501
336	1825
336	1912
336	2248
336	1567
336	1381
336	630
336	2442
336	933
336	933
336	649
336	1408
336	1387
336	1793
336	1231
336	1285
336	1735
336	256
336	1059
336	724
336	2216
336	557
336	734
336	2025
336	1890
336	999
336	1893
336	2064
336	560
336	271
336	1882
336	1307
336	2180
336	1070
336	559
336	1760
336	1683
336	1577
336	1633
336	1303
336	2407
336	2229
336	684
336	1428
336	1292
1274	1270
1274	933
1274	1408
1274	1886
1274	559
1274	1577
1274	1633
1951	1231
1951	1993
1951	1573
1951	2056
1951	927
1951	63
2223	1833
1151	289
1151	337
1151	1757
1151	300
1151	947
1151	573
1151	1227
1151	1498
1151	2342
1151	834
1151	789
1151	864
1151	1535
1151	1472
1151	308
1151	970
1151	620
1151	389
1151	701
1151	1640
1151	2088
1151	1174
1151	2228
1151	1226
1151	408
1151	1377
1151	817
1151	486
1151	1765
1151	1357
1151	1357
1151	1655
1151	1924
1151	305
1151	1513
1151	332
1151	27
1151	133
1151	1683
1151	1212
1151	1642
1151	2411
1151	99
1151	956
1151	2118
1536	337
1536	1757
1536	1162
1536	595
1536	1687
1536	834
1536	1838
1536	1535
1536	1472
1536	324
1536	701
1536	2088
1536	1174
1536	408
1536	97
784	614
784	1946
1996	1374
1996	827
1996	681
1996	1308
1996	1151
1996	1529
1996	1222
1996	1377
1996	209
1996	1683
1996	79
2406	324
1260	515
1260	933
1260	1437
1260	739
1260	1674
554	1116
2089	2173
2089	1264
2089	1683
2089	1642
561	1508
561	1832
561	1712
561	1152
561	1775
561	630
561	508
561	98
561	933
561	1419
561	1417
561	2048
561	2249
561	1524
561	123
561	769
561	1558
561	593
561	303
561	1956
561	1207
561	1087
561	316
561	2154
561	315
561	68
561	2084
561	63
561	1273
561	1303
561	896
749	630
749	933
749	649
1472	1697
1472	1535
1472	1543
1472	1472
1472	648
1472	445
1472	308
1472	1842
1472	752
1472	1397
1472	1197
1472	2338
1472	2228
1472	797
1472	1264
1472	1683
1472	1642
1472	1642
1859	1093
1859	2172
1859	630
1859	870
1859	353
1859	1982
1859	1990
1859	341
1859	80
1859	228
1859	1859
1859	861
1859	2228
1859	408
1859	408
1859	1207
1859	2455
1859	614
1859	29
1859	29
1859	209
1859	943
1859	429
1859	1884
1859	167
1859	1779
957	1838
957	448
1989	1247
1989	2423
223	712
223	47
223	2105
223	1989
223	1174
223	817
223	29
223	448
223	2229
1023	1709
1023	283
1023	1912
1023	3
1023	2315
1023	1170
1023	2232
1023	2022
1023	805
1023	1817
1023	2264
960	1709
960	98
960	3
960	1222
960	782
960	30
960	805
960	1816
960	750
123	1606
2174	124
2174	2173
2174	486
2174	235
2174	823
2038	1629
469	1192
1215	351
1215	580
1215	1453
1215	1844
1215	2279
1215	2253
1215	2362
1215	1544
1999	933
1596	1825
1798	3
2003	947
2104	827
2104	1283
2104	1231
2104	355
