0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
TBXA2R,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,5.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,4.0,2.0
ADIPOR2,350.0,618.0,317.0,20.0,196.0,1009.0,118.0,553.0,126.0,871.0,581.0,794.0,872.0,583.0,592.0,710.0,938.0,863.0,725.0,807.0,821.0,128.0,0.0,303.0,618.0,17.0,21.0,101.0,40.0,228.0,147.0,236.0,0.0,120.0,67.0,205.0,283.0,90.0,3847.0,885.0,985.0,839.0
NOS2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0,0.0,9.0,2.0
PAX6,1.0,9.0,2.0,0.0,0.0,10.0,0.0,11.0,2.0,7.0,9.0,21.0,33.0,24.0,17.0,26.0,31.0,17.0,20.0,20.0,4.0,0.0,0.0,8.0,11.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,79.0,31.0,39.0,18.0
TEAD3,14.0,45.0,20.0,1.0,11.0,68.0,3.0,50.0,6.0,40.0,27.0,38.0,49.0,19.0,27.0,75.0,58.0,55.0,29.0,59.0,57.0,13.0,0.0,44.0,72.0,5.0,0.0,3.0,2.0,24.0,7.0,21.0,0.0,7.0,2.0,7.0,2.0,4.0,300.0,68.0,88.0,30.0
SELE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,6.0,2.0,2.0,11.0,2.0,0.0,0.0,0.0,0.0
NOX1,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,27.0,4.0,1.0,4.0,1.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,3.0,44.0
E2F2,31.0,59.0,33.0,1.0,12.0,98.0,10.0,50.0,9.0,65.0,40.0,214.0,255.0,99.0,132.0,221.0,216.0,75.0,70.0,70.0,58.0,9.0,0.0,15.0,40.0,3.0,0.0,7.0,1.0,31.0,8.0,18.0,0.0,1.0,0.0,0.0,1.0,0.0,567.0,93.0,113.0,58.0
SYN1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
TFAP2B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
MGST1,2715.0,7384.0,2840.0,231.0,3271.0,11295.0,3375.0,8908.0,633.0,3188.0,8932.0,5951.0,6191.0,3200.0,6195.0,2683.0,7481.0,9631.0,9204.0,6340.0,5900.0,804.0,0.0,1937.0,4033.0,68.0,1048.0,2025.0,671.0,562.0,252.0,365.0,1.0,26.0,15.0,2.0,7.0,1.0,23405.0,9226.0,6908.0,5650.0
CRY1,29.0,59.0,18.0,0.0,21.0,109.0,22.0,66.0,17.0,98.0,81.0,132.0,175.0,117.0,139.0,145.0,165.0,118.0,98.0,140.0,80.0,16.0,0.0,39.0,89.0,5.0,17.0,20.0,15.0,63.0,24.0,53.0,0.0,34.0,26.0,243.0,350.0,125.0,238.0,55.0,71.0,98.0
NFIX,26.0,35.0,34.0,2.0,7.0,63.0,6.0,16.0,9.0,117.0,31.0,62.0,46.0,34.0,38.0,100.0,46.0,36.0,28.0,55.0,55.0,13.0,0.0,25.0,95.0,8.0,1.0,2.0,0.0,26.0,11.0,18.0,0.0,3.0,2.0,9.0,9.0,2.0,1173.0,137.0,231.0,83.0
