0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
NFIX,2.2,1.14,6.14,1.11,0.67,1.03,0.63,0.49,1.67,3.89,0.7,1.69,1.35,1.53,1.3,3.67,1.04,0.84,0.73,1.54,1.8,6.67,0.0,4.22,2.97,8.13,0.2,0.17,0.0,3.43,1.83,2.21,0.0,6.26,1.04,3.98,1.22,0.65,7.1,2.78,4.76,1.89
ST3GAL1,3.16,1.89,1.11,0.45,0.67,1.3,5.15,0.56,4.88,1.64,2.62,2.38,0.95,0.51,0.38,2.39,1.04,1.25,1.75,1.49,2.7,1.99,0.0,3.53,4.56,1.65,0.0,0.75,1.69,1.81,1.91,1.99,0.0,0.57,0.0,0.72,0.26,0.53,0.9,1.18,0.87,1.35
IL32,17.73,14.52,16.46,21.14,9.92,11.55,15.23,11.63,576.79,497.77,7.58,4.51,6.34,4.52,3.11,3.8,5.05,1.95,0.0,1.36,12.11,15.34,0.0,7.99,12.48,0.0,0.0,15.54,7.52,90.08,177.17,140.18,0.0,314.69,358.3,369.25,497.51,569.69,6.17,8.86,7.57,574.75
MLXIPL,0.18,0.69,0.09,0.0,0.33,0.7,0.0,0.16,0.0,0.25,0.29,0.16,0.16,0.23,0.41,1.41,0.97,0.53,0.7,0.32,0.04,0.0,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.23,0.41,0.26,0.39
CD4,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48,7.17,0.0,0.0,0.0,0.0
PTBP1,99.82,71.91,127.47,89.82,70.89,76.72,48.28,67.59,71.48,100.53,58.62,72.72,76.47,96.77,65.51,204.61,71.21,58.73,55.88,78.62,93.27,135.48,0.0,104.05,119.02,291.99,23.3,34.77,27.47,143.31,123.72,187.96,0.0,143.73,205.84,233.53,146.88,180.22,98.9,57.94,81.95,68.09
PLAUR,65.15,61.96,47.1,77.87,60.1,59.72,48.03,48.95,114.57,103.79,51.7,58.42,52.85,43.04,60.12,57.91,53.44,35.1,44.3,32.54,61.88,76.09,0.0,64.34,66.07,136.11,23.62,20.59,22.89,61.79,80.58,47.33,0.0,49.87,31.51,9.22,6.52,13.29,90.54,90.3,94.02,103.69
DCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRCA1,6.96,6.11,3.81,9.86,7.94,9.81,7.87,9.2,17.42,17.14,9.88,26.81,25.69,39.3,30.18,38.8,30.56,15.84,16.53,14.33,7.06,6.92,0.0,11.86,7.86,29.62,3.01,6.61,8.66,7.54,7.14,10.49,0.0,2.12,3.07,0.68,1.24,0.4,19.9,18.82,23.58,10.39
ERCC1,93.08,69.09,75.33,82.55,72.43,59.29,52.58,53.3,74.84,48.27,59.22,61.56,55.18,52.28,64.99,61.37,60.84,49.39,47.84,62.48,73.55,91.48,0.0,60.32,73.93,76.4,24.53,49.65,65.9,53.73,61.08,35.85,0.0,17.83,31.82,27.15,18.29,14.67,58.35,52.01,51.74,58.85
CD22,3.01,5.8,7.41,6.85,6.34,4.31,1.03,3.21,3.68,5.96,3.91,4.32,5.99,5.08,3.81,7.42,3.79,5.51,6.5,7.1,4.35,9.19,0.0,3.25,3.62,12.42,0.0,1.01,10.93,3.3,9.72,4.02,0.0,2.8,3.14,10.63,12.87,19.5,3.48,3.51,6.06,1.84
NR1H4,3.06,5.54,10.27,3.93,0.86,2.08,1.43,3.19,1.72,1.54,2.51,3.53,1.78,3.78,3.87,2.02,4.01,6.38,7.84,4.22,2.58,4.51,0.0,1.68,0.97,14.33,9.58,3.03,8.29,0.65,0.65,1.47,0.0,0.58,0.0,5.62,12.84,11.23,3.34,3.48,2.84,0.71
ALOX5,5.08,4.1,4.01,8.98,7.4,3.18,1.5,2.65,1.29,1.88,3.42,4.6,4.2,4.1,3.44,6.56,4.28,4.41,3.98,5.58,3.13,14.68,0.0,2.2,2.84,2.39,1.76,2.41,0.0,1.74,9.09,1.31,0.0,2.39,5.18,0.0,0.0,0.0,5.1,3.31,4.77,1.18
MVP,161.45,123.54,148.15,177.28,114.52,125.25,77.75,98.01,161.01,196.93,85.82,148.86,123.58,140.24,89.0,147.48,91.7,91.41,79.62,132.26,152.89,183.13,0.0,146.97,179.84,245.41,49.25,61.87,82.99,108.26,100.96,127.71,0.0,39.01,34.21,37.02,19.63,9.06,197.39,116.32,169.75,138.94
RNF14,34.75,31.48,29.22,27.79,44.02,32.67,19.59,40.71,39.66,40.09,35.09,28.74,39.94,47.97,32.75,34.09,27.99,39.93,48.31,45.92,31.47,20.64,0.0,27.21,28.83,45.23,27.62,22.54,34.94,19.89,36.88,20.05,0.0,20.26,8.49,17.6,15.05,10.91,27.99,32.17,31.55,36.74
ZMYND11,21.53,20.21,30.41,40.84,18.47,24.5,21.73,23.03,17.21,17.41,23.07,23.26,27.8,49.73,29.75,34.52,22.34,24.9,23.67,26.2,23.3,21.87,0.0,22.58,19.64,33.42,30.12,37.01,57.55,30.22,39.49,45.31,0.0,47.88,45.51,19.57,23.05,21.87,17.05,14.86,16.27,16.64
BID,34.91,37.21,32.79,60.43,57.68,37.25,43.68,38.66,86.82,79.61,37.19,31.54,33.33,35.85,44.95,39.24,35.52,26.03,28.46,30.28,34.1,23.01,0.0,21.51,41.61,44.2,8.0,19.33,34.08,19.86,23.01,14.31,0.0,29.0,17.22,3.22,22.66,15.35,19.44,18.03,20.65,83.14
NPC1L1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.06,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,5.83,5.84,6.27,0.03,0.05,0.04,0.03
ISL1,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.12
ATP2C1,19.28,34.08,21.49,21.39,36.84,30.97,26.09,27.57,29.31,35.53,26.46,27.76,32.12,57.75,44.01,31.67,34.1,32.34,29.32,25.57,23.56,20.52,0.0,40.08,17.27,87.79,38.86,23.69,26.9,35.8,33.01,28.27,0.0,10.43,32.87,44.54,15.79,28.48,26.98,28.82,21.22,32.95
IGF1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WWTR1,45.51,30.98,34.6,40.72,59.12,48.02,34.68,34.97,39.55,42.99,35.46,39.88,44.41,58.95,38.05,43.57,34.08,34.39,40.82,51.43,37.57,39.89,0.0,49.03,43.74,60.02,55.85,36.96,51.04,41.1,42.59,34.1,0.0,15.42,18.0,5.08,4.59,3.84,67.13,70.64,62.18,40.4
ATP1A2,0.0,0.36,0.0,0.0,0.0,0.91,0.0,0.04,0.0,0.12,0.04,0.0,0.18,0.14,0.2,0.07,0.05,0.03,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.04,0.06,0.02,0.3
CYP24A1,244.79,268.29,199.92,152.78,218.11,264.09,135.91,197.12,167.44,163.8,220.57,136.74,178.55,150.3,212.54,179.97,167.16,219.8,182.55,152.24,351.72,255.46,0.0,269.73,293.94,267.71,179.61,143.85,217.7,78.17,96.39,77.54,0.0,9.67,9.67,0.0,0.68,0.0,158.43,163.49,170.47,150.33
SNAI2,0.13,0.4,0.0,0.0,0.0,0.43,0.16,0.12,0.76,1.42,0.47,0.52,0.75,0.95,0.74,0.87,0.3,0.25,0.11,0.13,0.27,0.0,0.0,0.82,0.3,0.0,0.52,0.44,1.19,1.32,0.86,1.02,0.0,0.0,0.0,0.0,5.59,0.0,0.08,0.5,0.13,0.49
CD74,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,7.66,7.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.77,0.0,0.0,9.66,11.52,9.69,12.71
