0,1,2,3,4,5,6,7,8,9,10
CASR,0.03,0.01,0.39,0.41,0.21,0.02,0.74,0.18,1.43,0.0
FLT4,1.6,1.85,3.17,4.49,1.31,1.54,5.38,3.22,5.85,0.84
MAT2B,12.51,14.09,26.23,26.42,17.81,20.53,11.44,15.86,11.46,41.65
VCAN,1.73,0.5,6.67,1.15,2.86,2.04,12.73,22.51,4.93,1.62
MSR1,3.75,0.76,2.41,7.09,2.21,1.3,3.19,4.7,4.84,5.72
CDH1,17.95,28.55,19.98,48.74,34.64,20.58,36.2,21.86,20.64,11.82
TNC,0.84,0.69,3.11,1.38,0.76,4.92,2.45,2.28,0.42,2.34
AIFM2,3.19,3.51,6.51,7.22,5.54,12.23,3.95,18.0,2.03,8.9
TG,0.01,0.0,0.42,0.81,0.02,1.26,0.24,1.39,0.03,0.02
ZIC2,0.0,0.0,0.49,0.0,0.0,3.82,0.0,5.14,0.64,1.56
GUCA2B,1.86,0.61,4.08,2.2,0.7,0.66,3.76,0.87,2.82,16.08
HSPA5,37.19,27.2,82.34,61.87,57.47,103.76,92.07,103.94,16.05,215.8
MAP4,9.27,7.12,26.71,24.26,11.15,17.43,20.62,29.14,19.75,12.1
ROS1,0.04,0.13,0.0,0.13,0.3,0.13,0.0,0.01,0.0,0.02
HDAC9,0.47,0.39,2.52,1.03,1.59,0.06,1.49,0.34,1.01,0.22
RRM2B,2.08,1.69,6.42,3.32,2.02,5.93,2.7,2.12,1.64,2.41
TNFRSF17,0.3,0.0,0.95,0.9,1.65,0.11,1.55,0.0,1.57,0.13
LMO3,0.35,0.02,0.4,2.47,0.83,1.44,1.25,6.08,3.74,0.85
RSF1,36.69,23.45,36.97,52.38,51.34,21.6,53.26,56.48,74.58,21.67
PER3,9.19,7.44,4.49,8.39,10.38,3.34,3.33,6.52,3.42,2.92
LTBP1,3.42,2.75,5.74,3.82,5.21,1.15,8.19,4.33,7.21,1.12
NEDD4L,13.41,10.96,22.56,16.83,16.07,35.11,18.41,18.82,18.84,38.66
FOXP3,2.09,0.59,1.12,7.19,3.66,8.94,3.2,0.88,1.46,0.82
DKK3,3.75,1.98,12.18,16.31,6.83,6.24,24.35,7.34,9.75,2.24
MAPK9,2.3,3.1,6.15,5.32,4.42,7.62,3.83,5.29,3.0,11.74
BCAR1,6.68,5.16,10.29,9.61,9.75,29.93,17.66,9.72,14.9,7.26
RAD51,0.55,0.27,0.96,0.78,0.7,0.76,0.34,4.49,0.0,2.31
PIK3CB,3.34,2.2,7.09,4.56,2.67,6.09,3.9,7.82,3.51,5.67
LAMA3,1.91,0.35,4.02,7.77,0.55,19.1,2.71,3.2,4.51,7.44
ANAPC4,4.01,4.01,8.08,6.91,7.41,6.77,7.57,8.52,7.24,5.7
FOXC1,0.47,0.02,1.09,0.35,0.57,0.27,1.64,1.95,1.94,0.33
CYFIP2,20.19,9.96,15.76,24.94,15.53,22.97,21.08,10.68,27.31,3.63
EIF2AK2,2.9,2.31,5.0,8.65,7.68,4.47,5.55,4.95,4.24,4.19
TRAF1,2.34,1.31,4.07,5.76,3.84,1.69,6.89,2.82,6.2,2.98
TRAF3IP2,7.12,7.9,10.14,8.43,8.93,8.7,9.65,12.49,17.37,7.31
DCBLD2,2.61,3.81,3.76,3.52,5.11,3.36,4.75,7.0,4.89,2.94
PRDM1,1.59,0.66,3.22,2.52,2.8,0.38,6.02,2.32,3.37,4.33
ATG5,4.4,4.45,5.41,4.73,4.3,6.44,5.62,6.46,2.84,5.07
MTA3,5.28,2.82,10.08,7.69,7.52,12.69,9.6,18.64,14.4,10.59
DGKG,0.32,0.25,0.78,0.58,0.28,0.28,0.32,1.43,0.56,1.4
TBXAS1,2.37,0.59,3.58,6.77,2.44,3.27,3.6,3.85,1.93,7.1
MXD1,2.61,1.01,1.66,2.68,1.27,3.17,2.51,2.35,1.67,2.37
SLC2A3,19.41,8.86,9.11,5.1,6.32,6.69,65.38,20.88,51.97,37.77
CREB3L3,37.48,34.5,68.51,70.1,32.51,39.71,106.02,36.48,106.68,81.69
COL11A1,0.0,0.0,0.11,0.0,0.0,0.0,0.27,1.87,0.0,0.0
ACAA1,218.51,282.68,113.19,243.16,330.07,214.45,229.05,107.08,132.75,121.72
HDAC7,3.47,2.94,9.61,13.51,9.11,5.82,14.15,17.72,18.54,3.66
WNT8A,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDH3,0.0,0.0,0.37,0.08,0.4,0.08,0.1,0.0,0.81,0.2
VMP1,154.77,59.81,93.82,65.89,79.92,90.01,133.99,69.79,173.29,122.27
SPHK2,5.84,5.45,6.08,14.58,9.82,14.95,6.2,9.01,3.66,15.9
AHRR,0.33,0.11,0.03,0.0,0.13,0.0,0.0,0.16,0.36,0.0
CASP8,5.44,5.46,14.08,16.01,13.46,7.79,9.31,10.68,9.53,10.53
DLX3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0
NGFR,4.76,9.05,7.48,12.97,6.61,0.73,15.78,5.5,12.24,0.91
HIPK2,2.18,2.22,5.34,3.44,3.47,4.62,2.58,5.14,3.77,12.94
BORCS8-MEF2B,0.0,0.6,0.26,0.0,0.6,0.55,0.28,0.0,0.0,0.0
RFXANK,22.32,20.22,38.7,51.0,31.87,39.06,39.41,83.68,47.49,50.73
LPAR2,2.94,0.93,5.13,11.05,6.32,3.69,8.94,4.75,9.74,1.95
POU1F1,0.0,0.0,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0
ZNF76,8.09,9.85,10.25,13.35,12.74,11.55,9.58,10.46,11.38,8.22
UHRF1BP1,0.61,0.55,1.2,1.3,1.13,1.45,0.71,1.74,0.92,0.72
GNAI3,2.61,2.62,5.43,5.38,3.87,4.6,4.5,6.58,3.09,3.68
MCM10,0.02,0.02,0.32,0.4,0.03,0.3,0.16,2.65,0.23,1.02
ERBB3,49.35,42.86,51.59,90.58,55.08,55.0,24.28,109.44,54.66,93.84
SPEN,9.68,8.12,11.6,11.81,9.5,4.2,9.12,8.25,10.12,7.39
MAP2K4,3.16,4.85,6.35,5.99,5.42,13.94,6.05,3.73,4.24,4.91
GSTO2,4.04,0.99,18.16,5.78,4.71,3.62,6.49,14.44,10.81,5.24
