genename,ID_REF,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
purN,eco_gcs1_t06729,13992.466530000002,12426.45484,10033.97442,10566.07632,11560.68273,10561.0958,11685.24358,6815.012573999999,12133.73848,9443.778654000002,10131.661559999999,12102.97227,12218.02557,11691.853490000001,14090.02261,12756.76018,11866.116259999999,13416.66112,12948.1347,14246.96973,12749.842540000001,10738.0042,14331.99117,14811.17213
pykA,eco_gcs1_t04996,211.68743500000002,255.19351040000004,235.9606401,237.0961483,182.5576012,144.9504642,191.7302399,153.459326,161.1080341,122.2604314,197.6968979,180.63365890000003,281.1945162,258.4983989,257.0317759,227.6508182,226.4992002,184.02123600000002,254.36245449999998,236.54969559999998,226.2929389,181.4160159,263.37274130000003,232.7508602
rplB,eco_gcs1_t08731,103224.2745,55270.160429999996,77041.17432,102726.2513,132971.0142,100380.8692,124751.5207,90882.06737,134834.6108,98633.97241,125433.2486,136870.9895,58920.6507,63104.187679999995,81208.66058,60307.98112999999,69877.58195,64311.564289999995,75068.98074,71557.5093,80347.22759,64223.56367999999,89917.95986,86870.326
rplC,eco_gcs1_t08735,54064.10901,22578.01416,27750.527789999996,51852.34158,81347.18933,62173.0946,83831.05029,54118.628679999994,83617.73911000001,53116.40295,81800.3898,84872.16579,22158.63787,33040.28431,28369.070069999998,25996.02788,24827.37112,27114.51075,29967.3042,31429.90535,31346.81974,20908.668980000002,26970.06597,27970.328530000003
rplD,eco_gcs1_t12016,149471.3839,68087.65091,95118.62081000001,160012.6621,233826.5399,171155.974,224105.0766,154096.4853,217846.3733,157988.9471,214522.0274,233206.9231,69789.55449,95553.9712,89375.52131,75746.79318,79326.86562000001,81809.00496,94779.3246,92855.18565,99370.8461,72924.52713,85001.20116,91278.96951
rplP,eco_gcs1_t12015,60858.285910000006,45021.07671,48182.60953,54089.56975,63909.019389999994,50672.55512,64770.36359,38038.88341,63978.29969,43391.344639999996,59267.01545,59773.741120000006,39008.34563,44026.91785,43603.48756,37655.46125,39463.16465,38011.71901,45783.21814,48422.79317,46526.95409,33629.95473,47231.88604,46199.137160000006
rplS,eco_gcs1_t07004,1347.888065,1496.977911,1411.663658,1532.3999199999998,1095.378975,1047.544168,1153.034487,885.411616,980.8621728,931.8825672,981.5671030999999,1039.558863,1172.218394,1298.8650699999998,1001.023081,914.8451176000001,1097.270957,1085.5403039999999,1209.41761,1501.9368240000001,1287.120141,1173.7714,1503.375537,1265.385351
rplT,eco_gcs1_t04595,11129.54248,6997.208042,7141.376206999999,11305.80647,15476.90836,11787.290840000001,14670.985669999998,9168.941114,16301.1912,13920.54136,18603.73995,19478.02328,5977.533274,6525.310627000001,10122.21808,7925.622031,7787.716142,6399.628446,7962.432901,6973.505764,7607.965467,6391.507956,10839.91305,12192.1611
rplV,eco_gcs1_t08729,20959.39829,16857.324080000002,14766.35469,18571.99438,24994.6454,18527.60036,24093.732219999998,15691.83133,23242.92514,16739.81836,25115.67726,26390.10801,12017.500820000001,13557.268119999999,13620.297819999998,12425.76877,12583.05796,12054.15917,15064.26099,14240.992740000002,15758.257290000001,10751.651020000001,13540.25526,14027.4416
rplW,eco_gcs1_t08733,132310.7816,51254.65539,73503.62296000001,114463.2041,157506.1908,128621.67599999999,159220.4556,104140.8742,162031.2124,111158.1792,149500.6722,156006.88199999998,48160.11387,65432.169160000005,61735.56581,51415.64173,52567.47257,60029.03287,62988.69693,63467.26063,66767.04874,47143.17692,54934.32804,57302.257260000006
