0,1,2,3,4,5,6,7,8,9,10
AIFM2,120.0,146.0,286.0,296.0,210.0,635.0,167.0,717.0,71.0,422.0
TG,1.0,0.0,5.0,15.0,1.0,20.0,2.0,7.0,1.0,1.0
ZIC2,0.0,0.0,21.0,0.0,0.0,179.0,0.0,195.0,6.0,72.0
GUCA2B,11.0,4.0,26.0,13.0,4.0,5.0,23.0,5.0,14.0,111.0
HSPA5,1948.0,1579.0,4773.0,3273.0,2966.0,7078.0,5017.0,5302.0,725.0,13404.0
MAP4,511.0,443.0,1725.0,1186.0,635.0,1325.0,1108.0,1519.0,885.0,796.0
ROS1,4.0,1.0,0.0,13.0,2.0,3.0,0.0,1.0,0.0,2.0
HDAC9,16.0,14.0,42.0,35.0,47.0,4.0,53.0,12.0,36.0,15.0
RRM2B,134.0,110.0,454.0,216.0,128.0,494.0,169.0,133.0,91.0,183.0
TNFRSF17,3.0,0.0,9.0,9.0,16.0,1.0,16.0,0.0,9.0,1.0
LMO3,14.0,1.0,7.0,46.0,15.0,30.0,22.0,96.0,49.0,27.0
RSF1,776.47,628.0,931.26,1186.0,1029.0,764.0,1273.0,1119.57,1239.0,681.0
PER3,711.83,632.0,341.89,604.94,821.98,300.0,276.56,372.62,230.14,229.96
LTBP1,236.0,178.0,438.0,266.0,300.0,103.0,588.0,252.0,422.0,91.0
NEDD4L,344.0,200.58,812.75,668.64,492.99,1863.0,454.0,440.0,359.0,1262.14
FOXP3,61.0,19.0,36.0,202.0,104.0,325.0,96.0,25.0,34.0,27.0
DKK3,80.0,28.0,323.31,370.81,151.0,216.0,594.44,145.9,197.88,63.0
MAPK9,123.0,137.0,361.0,283.0,191.0,501.0,215.0,290.0,141.0,730.0
BCAR1,256.0,213.0,457.0,368.0,348.0,1607.0,662.0,363.0,447.0,336.0
RAD51,7.0,2.0,27.0,21.0,15.0,19.0,9.0,99.0,0.0,64.0
PIK3CB,153.0,111.0,369.0,214.0,115.0,343.0,166.0,322.0,118.0,339.0
LAMA3,22.0,16.0,152.0,186.0,41.0,713.0,92.0,33.0,103.0,194.0
ANAPC4,133.0,153.0,279.0,246.0,219.0,302.0,272.0,295.0,225.0,204.0
