0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
SERPINB1,21.39,79.16,19.8,72.77,42.59,26.54,36.71,12.56,12.27,17.14,14.57,32.16,44.18,20.56,35.84,66.06,25.5,29.46,12.43,16.77,8.49,11.02,33.85,16.63
SPAST,6.24,3.69,3.27,6.49,0.61,1.53,1.38,0.74,1.28,1.32,1.38,2.53,6.57,4.37,2.41,1.1,1.24,1.6,2.22,1.43,2.93,0.61,0.78,2.22
NLRP2,20.15,0.32,0.52,2.06,0.23,9.08,13.81,1.59,0.41,2.41,2.84,3.71,16.77,0.36,0.0,2.76,0.0,7.73,34.82,3.38,0.0,12.86,6.28,16.02
RB1CC1,20.99,11.85,12.57,8.9,5.13,25.87,6.46,2.72,4.19,2.66,4.73,4.06,26.98,12.81,16.45,6.29,9.86,17.84,16.67,12.85,24.05,10.43,7.39,8.93
ERP44,26.47,23.33,11.79,14.57,8.76,7.49,12.27,6.15,7.14,7.47,7.52,9.77,26.19,6.39,10.87,6.4,5.95,9.03,6.61,9.06,6.49,7.2,9.63,12.84
BIRC3,11.95,3.97,32.38,29.64,1.29,3.45,2.98,2.64,6.02,16.9,11.17,3.95,131.45,4.4,16.66,38.04,4.21,60.77,0.5,160.28,14.88,188.01,114.32,173.7
ABCC2,0.45,0.43,2.55,0.08,1.24,1.06,2.53,0.0,0.04,0.02,0.58,0.51,0.15,0.26,0.01,0.19,0.47,1.91,24.89,0.0,1.34,1.17,20.68,43.39
HSF2,8.63,9.68,4.69,3.37,6.03,5.37,3.08,4.04,2.08,5.29,6.71,5.97,7.4,7.05,7.04,2.9,3.28,5.08,6.95,6.74,9.34,5.35,3.25,6.91
HSD17B6,1.9,6.38,4.28,1.14,9.23,8.69,8.56,1.03,2.55,1.42,2.76,9.75,0.05,0.55,1.36,0.76,0.38,0.32,0.21,0.16,1.21,0.0,0.32,0.99
NR1H3,23.62,21.75,17.93,33.92,31.8,32.32,22.1,2.4,12.36,3.91,6.68,11.11,3.41,11.95,6.32,3.35,4.98,26.15,7.43,3.44,2.96,17.31,4.74,8.44
VIM,488.84,305.09,229.02,1017.54,256.68,309.23,541.81,22.12,163.1,38.69,184.05,108.71,54.37,10.02,694.08,19.04,13.14,86.01,13.14,0.0,0.08,13.6,577.94,2.17
FAS,17.74,7.04,18.08,15.95,5.63,6.01,9.28,3.44,15.53,8.29,14.04,18.28,23.07,10.09,9.06,11.07,0.55,8.95,0.0,3.6,14.91,12.04,11.06,1.7
CD44,14.55,52.98,80.6,189.27,75.89,479.86,160.61,25.03,37.31,109.93,45.22,91.53,103.11,56.64,195.71,101.05,135.9,403.53,120.91,71.59,129.23,189.52,91.47,90.11
IFNGR1,78.3,59.29,19.96,41.75,34.37,26.23,40.66,50.32,39.58,164.58,70.37,85.45,85.99,30.11,54.62,16.84,35.9,55.99,28.71,17.21,219.94,53.75,22.55,101.79
TNFRSF1B,1.2,3.91,2.49,13.86,0.87,2.81,3.61,0.65,2.66,0.66,1.31,0.63,0.1,0.1,0.0,0.5,0.0,0.4,0.0,0.01,0.19,1.03,0.13,0.0
POU2F2,1.97,1.62,3.06,3.8,1.06,2.62,4.69,0.09,0.35,0.72,0.4,0.43,0.03,0.03,0.02,0.05,0.09,2.42,1.66,0.0,0.0,0.01,3.91,0.0
TBPL1,77.42,55.03,45.13,41.64,35.42,28.15,65.7,10.4,8.39,15.87,17.76,16.88,50.99,18.89,34.82,48.44,23.58,19.45,63.46,66.88,14.44,10.24,68.88,41.96
ARNTL2,6.08,0.5,2.55,2.27,0.2,0.16,0.93,0.04,0.37,0.74,0.21,0.88,40.49,0.02,2.07,1.93,1.69,0.47,4.71,0.65,1.08,2.46,2.03,1.04
IBSP,2.19,2.44,4.98,0.0,1.05,8.65,1.19,6.33,1.1,0.64,0.67,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0
BAK1,13.81,7.25,13.44,1.64,8.69,2.07,6.46,0.85,2.13,1.54,1.76,1.39,0.82,1.43,3.17,0.92,0.97,1.02,0.78,1.15,1.38,0.07,5.15,2.11
PIAS1,29.94,31.75,14.07,17.75,25.71,22.98,19.76,8.05,8.71,8.84,13.47,15.6,17.17,19.06,14.82,19.18,29.97,24.09,13.95,10.47,19.81,17.06,15.95,26.38
GABARAPL2,121.9,237.11,218.4,275.76,117.69,188.94,169.69,130.01,72.07,47.87,78.56,100.35,151.24,117.21,308.25,253.51,75.29,243.62,254.74,209.95,206.5,54.09,100.45,57.46
DAPK2,2.26,1.94,2.12,14.75,4.72,4.92,1.66,0.88,1.28,0.72,0.9,0.93,0.44,4.65,5.36,7.12,4.49,4.26,0.0,3.47,0.38,0.23,1.34,9.92
TIMP2,17.86,12.89,27.92,36.46,17.14,22.76,34.28,5.89,23.84,5.87,19.42,26.23,12.9,8.83,35.7,3.91,6.75,5.71,18.26,9.33,27.89,2.04,30.07,4.07
OTC,0.0,0.0,0.0,1.43,0.14,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CASR,0.0,0.02,0.01,0.86,0.01,0.0,0.0,0.01,0.02,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FLT4,0.19,0.76,1.18,0.82,0.22,0.38,0.78,0.15,0.07,0.01,0.06,0.11,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0
MAT2B,53.2,30.41,23.72,10.88,16.86,17.19,18.66,37.35,20.7,31.22,31.79,39.71,34.08,17.61,21.05,13.01,9.41,20.47,3.2,18.45,29.21,16.24,22.07,10.32
VCAN,9.9,5.9,11.68,52.68,94.78,39.73,87.11,4.06,21.61,10.85,22.53,31.97,0.33,0.0,5.79,0.0,0.86,0.0,0.0,0.0,0.0,0.01,13.42,0.0
