genename,rep1_T1,rep1_T2,rep1_T3,rep1_T4,rep1_T5,rep1_T6,rep1_T7,rep1_T8,rep2_T1,rep2_T2,rep2_T3,rep2_T4,rep2_T5,rep2_T6,rep2_T7,rep2_T8,rep3_T1,rep3_T2,rep3_T3,rep3_T4,rep3_T5,rep3_T6,rep3_T7,rep3_T8
paaD,7.298252451,5.19189945,3.533127738,5.529133739,5.761590597,6.033289256,5.801456278,14.69593682,8.579396155,10.23635849,9.487886397,7.414203011,2.773231902,3.392356146,9.993296199,6.149380515,12.81186083,8.403399356,5.434022008,13.01627776,8.388028621,9.217200204,9.383526599,5.956806056
paaE,7.587598277,3.341736462,4.124446572,3.762465195,5.025710379,4.042501781,4.854734121,8.553699217,6.193384843,12.90808639,8.042925177,6.063777092,3.793459219,3.549289898,4.925277446,6.850440109,10.51532903,9.490457508,5.56706442,7.408180048,7.713047488,6.863304193,7.239007742,7.216870164
paaF,62.00268353,54.21106514,63.69733651,58.20150095,44.96226595,44.02606385,43.63255828,36.54076302,66.54442049,55.46902332,60.79199197,63.59799132,40.4173894,33.24964905,33.7652956,30.23027714,61.5653969,67.1029704,63.17726167,55.96976703,44.24842324,42.08101517,39.48531605,43.20713165
paaG,9.286928494,8.797482471,7.389777147,7.864265341,10.45791679,6.68918721,6.941460323,10.33427612,5.17319298,11.82259603,7.796639009,8.936028955,8.518707065,8.58189799,9.784493408,10.53495332,11.57947746,12.52710274,11.558567,22.97747242,13.1224371,9.60996516,11.13968139,6.208357309
paaH,63.37090593,80.19232658,70.46223468,85.70734369,63.80247806,48.76605796,53.15224093,37.25054092,68.73862116,67.68172773,95.33380064,57.10403207,80.1858972,73.92942747,73.66109511,45.33132563,93.65517134,107.6989026,97.55909412,84.61201764,80.95499865,70.8779268,67.92814585,48.70489409
paaI,64.00390018,78.8850982,69.60283068,52.20278424,42.17886652,40.51547674,40.961171,27.08775482,78.74505511,66.85258336,55.59298903,59.24354485,95.93538857,87.84000254,75.77824778,67.40836682,116.5471478,126.6798055,123.2780938,87.96482869,90.60124714,82.29447058,84.89101066,69.79186234
paaJ,34.86857028,27.00689411,32.98652276,28.51044853,21.56313857,28.89029262,30.16311143,40.8748432,30.24922161,30.77806605,33.35498372,31.12251442,44.83772471,42.3928333,44.56009321,66.588083,39.10633803,40.11501021,43.77465659,35.54273681,48.38544347,43.56808533,39.20241818,66.94502567
paaK,292.3822659,329.4429034,301.622156,305.5747148,324.3930859,338.2494719,413.8774952,511.0307358,293.1360141,262.1911356,290.7500705,287.3118364,406.4824705,432.6912346,412.3251922,641.7898327,366.3739611,332.9135121,386.5888601,334.2379274,450.1182211,426.5855387,433.0839941,704.5352849
mokB,132.5825959,182.1152602,115.6474861,111.4537197,98.66594342,99.10222765,131.5599259,71.40442622,225.9383762,151.0614558,86.00442249,133.0200197,17.47348826,23.02836478,29.05596887,75.40307371,66.74140263,61.59645559,58.2282605,35.79564199,42.97315557,25.95732982,57.7338573,60.54559072
lsrK,20.51076649,20.59997698,19.12709217,17.59127361,22.69801403,21.11601942,16.24486242,15.93332687,18.02895786,17.57176012,14.94221206,16.91014896,20.58069178,19.72802043,17.03848942,17.41687418,27.33362536,28.01358888,27.53442319,28.14225399,23.98414137,21.56837134,21.28867521,21.88736869
lsrA,5.106372096,5.960198007,4.333423036,2.974494881,2.731728336,4.203220684,2.37431841,1.07229413,8.145792362,5.316504348,2.577472959,3.904571458,2.262395782,3.430322347,2.996543788,5.038669097,3.275990039,10.50533722,4.39992819,6.040100758,3.412034933,3.111159077,2.620123368,4.661989882
lsrC,3.370129772,4.80649525,2.365408214,2.112920717,2.845672151,2.5336941,2.995507701,3.842355376,2.731154224,3.60328631,4.14227759,3.255754873,2.663669038,9.042545522,3.425345385,3.607072409,5.487501621,8.359382856,6.213691089,6.163790561,3.308654543,3.348210027,3.102055056,2.935863164
lsrD,13.6610975,11.12440726,10.21206863,8.00988453,10.99616564,7.70465537,7.801567983,9.165548814,13.94878789,12.74063895,9.61556355,8.968213548,11.39586778,6.298616061,9.087702618,9.79222311,16.12057546,12.04043082,10.77163883,13.77391187,10.58450112,10.89194113,8.265253482,8.503510391
lsrB,27.11100631,28.97768475,27.36723272,25.98726276,26.06637307,23.31025006,24.42717635,21.83528193,31.11349386,24.27133074,20.98589802,23.38559378,32.51716004,27.67896215,30.23853901,25.9631458,35.98944105,34.54214044,34.81795181,32.60874224,38.54667369,33.29351558,31.09368266,38.34608616
